NPA,median_age_of_residents_2022,high_speed_internet_access_2022,employment_2022,single_family_housing_2022_Raw,residential_occupancy_2022,home_ownership_2022,vacant_land_in_acres_2022,proximity_to_public_transportation_2022,street_connectivity_index_2022,proximity_to_school_age_care_2022,proximity_to_early_care_and_education_2022
406,54,92%,93.7%,926,87.5%,84.3%,135,146,1,219,231
407,49,76.4%,96.2%,786,95.5%,88.6%,316,233,1,156,105
408,50,86.7%,87.1%,958,95.1%,70.8%,62,564,1,605,605
409,47,97.1%,97.9%,993,94.4%,94.9%,108,262,1,309,309
410,58,62.2%,100%,125,80.4%,73.2%,19,977,1,204,204
411,41,80.5%,91.2%,421,95.8%,63.9%,135,179,2,179,179
412,52,81.3%,100%,295,96.1%,91.9%,354,0,1,5,93
413,41,95.7%,95.7%,1211,100%,97.3%,134,0,1,9,9
416,33,84.9%,96.4%,65,91.1%,19.7%,10,722,1,722,722
417,34,90.1%,97.6%,719,97.2%,76.5%,66,638,1,657,703
418,39,98.7%,95.9%,861,94%,74.9%,158,1037,1,955,468
419,44,97%,98.9%,1049,100%,99%,63,159,1,188,247
420,48,88.9%,98.1%,901,100%,65.7%,29,467,1,740,740
421,42,93.6%,95.7%,562,97%,89.7%,218,0,1,0,0
422,35,90.6%,96.3%,591,87.7%,38.6%,920,1066,1,748,748
423,40,94.9%,98.1%,1262,100%,96.8%,1107,0,1,9,0
424,55,97.5%,96.3%,560,91.5%,96.7%,117,336,1,460,460
425,53,91.9%,100%,472,100%,97.9%,472,0,1,0,0
426,46,90.4%,96.4%,554,100%,58%,22,566,1,446,446
428,47,94.8%,97.8%,602,96%,79.2%,474,0,1,5,0
430,39,59.2%,95.1%,566,94.9%,45.6%,308,726,1,1333,1333
431,44,90.5%,95.8%,775,100%,72.7%,211,287,1,10,10
432,41,85.8%,96.4%,924,94.8%,90.7%,405,5,1,26,799
433,36,87%,95.9%,325,87%,100%,47,0,1,252,252
434,44,90.6%,98.2%,1444,99%,93.1%,1041,1,1,251,251
435,49,100%,100%,246,81.3%,92.8%,108,130,1,24,9
436,43,100%,97.4%,603,90.3%,92.1%,12,442,1,196,88
437,36,81.3%,94.6%,1990,95.5%,70.3%,1758,1616,1,1025,133
438,51,91%,98.1%,1299,92.3%,69.9%,888,1209,2,765,32
